id,outbreak,full_loc,place,continent,updates,date
1, Antimicrobial therapy , Indonesia (Asia), Indonesia ,Asia,5,18/05/2022
2, Rabies , USA (North America), USA ,North America,20,18/05/2022
3, Lloviu virus , Hungary (Europe), Hungary ,Europe,1,18/05/2022
4, Avian influenza , USA (North America), USA ,North America,121,18/05/2022
5, Poliomyelitis update , Mozambique (Africa), Mozambique ,Africa,19,18/05/2022
6, Rabies , Nepal (Asia), Nepal ,Asia,21,18/05/2022
7, Monkeypox , Portugal (Europe), Portugal ,Europe,14,18/05/2022
8, Dengue , Brazil (South America), Brazil ,South America,17,18/05/2022
9, Monkeypox , Spain (Europe), Spain ,Europe,3,19/05/2022
10, Antimicrobial stewardship , USA (North America), USA ,North America,47,19/05/2022
11," Hand, foot and mouth disease ", Malaysia (Asia), Malaysia ,Asia,1,19/05/2022
12, Estrogen Treatment , North Korea (Asia), North Korea ,Asia,121,19/05/2022
13, Monkeypox ,Spain (Europe),Spain ,Europe,8,19/05/2022
14, Monkeypox , Portugal (Europe), Portugal ,Europe,20,19/05/2022
15, Monkeypox , USA (North America), USA ,North America,1,19/05/2022
16, Antimicrobial stewardship , Lebanon (Asia), Lebanon ,Asia,48,19/05/2022
17, Dengue , India (Asia), India ,Asia,12,19/05/2022
18, Leishmaniasis , Panama (North America), Panama ,North America,1,19/05/2022
19, Hepatitis , Global,Global,Global,15,19/05/2022
20, African swine fever , Nepal (Asia), Nepal ,Asia,9,19/05/2022
21, Foot & mouth disease , Indonesia (Asia), Indonesia ,Asia,5,19/05/2022
22," Salmonellosis, Serotype Typhimurium, Monophasic ", Belgium (Europe), Belgium ,Europe,6,19/05/2022
23, Poliomyelitis, Mozambique (Africa), Mozambique ,Africa,20,19/05/2022
24, Avian influenza , Israel (Asia), Israel ,Asia,6,20/05/2022
25, African swine fever , India (Asia), India ,Asia,10,20/05/2022
26, Avian influenza ,USA (North America),USA,North America,122,20/05/2022
27, Avian influenza , Gabon (Africa), Gabon ,Africa,123,20/05/2022
28, Monkeypox , Africa (Africa), Africa ,Africa,55,20/05/2022
29, Poliomyelitis , Mozambique (Africa), Mozambique ,Africa,2,20/05/2022
30, Antimicrobial stewardship , Bangladesh (Asia), Bangladesh ,Asia,49,20/05/2022
31, E. Coli EHEC , Scotland (Europe), Scotland ,Europe,1,20/05/2022
32, Scrub typhus , China (Asia), China ,Asia,2,20/05/2022
33, Anthrax , Uganda (Africa), Uganda ,Africa,2,20/05/2022
34, Monkeypox , Spain (Europe), Spain ,Europe,4,21/05/2022
35, African swine fever , Nepal (Asia), Nepal ,Asia,11,21/05/2022
36, Crimean-Congo Hemorrhagic Fever , Iraq (Asia), Iraq ,Asia,4,21/05/2022
37, Crimean-Congo Hemorrhagic Fever , Turkey (Europe), Turkey ,Europe,3,21/05/2022
38, Poliomyelitis , Mozambique (Africa), Mozambique ,Africa,1,21/05/2022
39, Hepatitis , Kenya (Africa), Kenya ,Africa,1,21/05/2022
40, Hepatitis , Global,Global,Global,16,21/05/2022
41, Japanese encephalitis , Australia (Oceania), Australia ,Oceania,25,21/05/2022
42, Surveillance , South Korea (Asia), South Korea ,Asia,58,21/05/2022
43, Foodborne illness , Philippines (Asia), Philippines ,Asia,2,21/05/2022
44," Cholera, Diarrhea & Dysentery ", Africa (Africa), Africa ,Africa,18,21/05/2022
45," Salmonellosis, Serotype Senftenberg ", USA (North America), USA ,North America,14,21/05/2022
46, African Swine Fever , Philippines (Asia), Philippines ,Asia,30,21/05/2022
47, Crimean-Congo Hemorrhagic Fever , Iraq (Asia), Iraq ,Asia,10,22/05/2022
48,Poliomyelitis , Mozambique (Africa), Mozambique ,Africa,8,22/05/2022
49, Monkeypox , Israel (Asia), Israel ,Asia,2,22/05/2022
50, Antimicrobial stewardship , Italy (Europe), Italy ,Europe,50,22/05/2022
51, Mushroom Poisoning , Assam (Asia), Assam ,Asia,3,22/05/2022
52, Syphilis - Americas , Puerto Rico (North America), Puerto Rico ,North America,1,22/05/2022
53, Fish mortality ,Jordan (Asia),Jordan ,Asia,1,22/05/2022
54, Antimicrobial therapy , USA (North America), USA ,North America,6,22/05/2022
55, Monkeypox , Argentina (Europe), Argentina ,Europe,1,23/05/2022
56, Fish mortality , Jordan (Asia), Jordan ,Asia,2,23/05/2022
57, Ebola , Democratic Republic of Congo DR (Africa), Democratic Republic of Congo DR ,Africa,6,23/05/2022
58, Monkeypox , Argentina (Europe), Argentina ,Europe,2,23/05/2022
59, Legionellosis , USA (North America), USA ,North America,5,23/05/2022
60, Research & innovation , China (Asia), China ,Asia,34,23/05/2022
61, Avian influenza ,USA (North America),USA,North America,124,23/05/2022
62, Avian influenza ,USA (North America),USA,North America,125,23/05/2022
63, Ebola , Democratic Republic of Congo (Africa), Democratic Republic of Congo ,Africa,4,23/05/2022
64, Foot & mouth disease , Indonesia (Asia) , Indonesia ,Asia,4,23/05/2022
65, Monkeypox , Global,Global,Global,6,24/05/2022
66, Rabies , Bolivia (South America), Bolivia ,South America,1,24/05/2022
67, Monkeypox , Africa (Africa), Africa ,Africa,2,24/05/2022
68, Foot & mouth disease , Indonesia (Asia), Indonesia ,Asia,6,24/05/2022
69, Cholera , Pakistan (Asia), Pakistan ,Asia,2,24/05/2022
70, Monkeypox , Portugal (Europe), Portugal ,Europe,2,24/05/2022
71, Foodborne Illness , Maharashtra (Asia), Maharashtra ,Asia,15,24/05/2022
72, Hepatitis , Global,Global,Global,17,24/05/2022
73, Toxoplasmosis , New Zealand (Australia), New Zealand ,Australia,1,24/05/2022
74, Leptospirosis , Fiji (Oceania), Fiji ,Oceania,5,24/05/2022
75, Foodborne illness , Kerala (Asia) , Kerala ,Asia,9,24/05/2022
76, Gastroenteritis , Panama (North America), Panama ,North America,1,25/05/2022
77, Surveillance , China (Asia), China ,Asia,59,25/05/2022
78, Monkeypox , Morocco (Africa), Morocco ,Africa,1,25/05/2022
79, Cronobacteriosis , USA (North America), USA ,North America,1,25/05/2022
80, Anthrax , Sierra Leone (Africa), Sierra Leone ,Africa,1,25/05/2022
81, Monkeypox , Morocco (Africa), Morocco ,Africa,2,25/05/2022
82, Alcohol poisoning , Bihar (Asia), Bihar ,Asia,9,25/05/2022
83, Monkeypox , Morocco (Africa), Morocco ,Africa,3,25/05/2022
84, Foot & mouth disease , Indonesia (Asia), Indonesia ,Asia,7,25/05/2022
85, Trypanosomiasis , Uganada (Africa), Uganada ,Africa,1,25/05/2022
86, Rift Valley fever , Burundi (Africa), Burundi ,Africa,1,26/05/2022
87, Avian influenza ,USA (North America),USA,North America,126,26/05/2022
88, Monkeypox ,Global,Global,Global,3,26/05/2022
89, Rabies ,USA (North America),USA,North America,22,26/05/2022
90, Arbovirus , Hondura (North America), Hondura ,North America,1,26/05/2022
91, Foodborne illness , Gujarat (Asia), Gujarat ,Asia,16,26/05/2022
92, Foodborne illness , Hong Kong (Asia), Hong Kong ,Asia,1,26/05/2022
93, Foodborne illness , Japan (Asia), Japan ,Asia,1,26/05/2022
94, Monkeypox , Portugal (Europe), Portugal ,Europe,4,26/05/2022
95, Legionellosis , New York (North America), New York ,North America,6,26/05/2022
96, African swine fever , Malaysia (Asia) , Malaysia ,Asia,31,26/05/2022
97, Foot & mouth disease , Indonesia (Asia), Indonesia ,Asia,5,26/05/2022
98, Rift Valley fever , Burundi (Africa), Burundi ,Africa,2,26/05/2022
99, Anthrax , Uganda (Africa), Uganda ,Africa,3,26/05/2022
100, Carbon Monoxide Poisoning , Bahamas (North America) , Bahamas ,North America,2,26/05/2022
101, Bacterias hiperresistenes , Chile (South America), Chile ,South America,1,27/05/2022
102, African swine fever , Germany (Europe), Germany ,Europe,13,27/05/2022
103, Poliomyelitis , Pakistan (Asia), Pakistan ,Asia,21,27/05/2022
104, Red tide , Guatemala (North America), Guatemala ,North America,2,27/05/2022
105, Carbon Monoxide Poisoning , Bahamas (North America), Bahamas ,North America,3,27/05/2022
106, Measles , Afghanistan (Asia), Afghanistan ,Asia,12,27/05/2022
107, Japanese Encephalitis , New South Wales (Australia), New South Wales ,Australia,26,27/05/2022
108, Ebola , Democratic Republic of Congo (Africa), Democratic Republic of Congo ,Africa,7,27/05/2022
109, Blast Disease ,India (Asia),India ,Asia,1,27/05/2022
110, Stone fruit , West Bengal (Asia), West Bengal ,Asia,1,27/05/2022
111, Botulism , Texas (North America), Texas ,North America,4,27/05/2022
112, Legionellosis ,  New South Wales (Australia),  New South Wales ,Australia,1,27/05/2022
113, Monkeypox , Argentina (Europe), Argentina ,Europe,2,27/05/2022
114, Sarampo , Brazil (South America), Brazil ,South America,2,27/05/2022
115, Dengue , Sao Tome (Africa), Sao Tome ,Africa,1,27/05/2022
116, Childhood Hepatitis , Mexico (North America) , Mexico ,North America,11,27/05/2022
117, African swine fever , Moldova (Europe), Moldova ,Europe,14,28/05/2022
118, Avian influenza , Slovakia (Europe), Slovakia ,Europe,127,28/05/2022
119," Undiagnosed disease, langur ", India (Asia), India ,Asia,1,28/05/2022
120, Acute Hepatitis , Global,Global,Global,3,28/05/2022
121, Brucellosis , Algeria (Africa), Algeria ,Africa,2,28/05/2022
122, Rift Valley fever , Burundi (Africa), Burundi ,Africa,1,28/05/2022
123, Malaria , Thailand (Asia), Thailand ,Asia,11,28/05/2022
124, Meningitis , Queensland (Australia), Queensland ,Australia,3,28/05/2022
125, Hepatitis A , Canada (North America), Canada ,North America,2,28/05/2022
126, Brucellosis , New South Wales (Australia) , New South Wales ,Australia,2,28/05/2022
127,Influenza A variant , Ghana (Africa), Ghana ,Africa,6,28/05/2022
128,Food Borne Disease , Cote d'Ivoire (Africa), Cote d'Ivoire ,Africa,2,28/05/2022
129, Malaria , Kenya (Africa), Kenya ,Africa,1,28/05/2022
130, African swine fever , Philippines (Asia), Philippines ,Asia,32,29/05/2022
131, African swine fever , Philippines (Asia) , Philippines ,Asia,33,29/05/2022
132," Hand, foot & mouth disease ", India (Asia), India ,Asia,3,29/05/2022
133, Avian influenza , Canada (North America), Canada ,North America,128,29/05/2022
